content_id,subject,sentiment_value,sentiment_word,content
XuPwKCnA2fqNh5vm,价格,-1,,欧蓝德，价格便宜，森林人太贵啦！    
2jNbDn85goX3IuPE,价格,0,,楼主什么时候提的车，南昌优惠多少啊
hLgEADQ8sUnvGFK9,价格,0,,吉林，2.5优惠20000，送三年九次保养，贴膜
nZmM7LQsfr03wUaz,价格,0,,便宜2万的豪华特装，实用配制提升，优惠还给力，确实划算。
pwd8MnrthDqLZafe,价格,0,,如果实在想买就等车展期间，优惠2万，我24.98万入的2.5豪
cudSKGTyMLbIt8k3,价格,0,,2.0时尚优惠两万现金吗？还有其他赠品吗？    
U5RMQtopwFzDVxHm,价格,0,,27.5 相比较优惠的少
Kh0ayJjuTrzwPAs1,价格,0,,综合优惠两万，不是现金优惠两万，送的垃圾东西都包含在内.大忽悠.    
YZovRtEAyQJgTi1I,价格,0,,差不多15000左右的优惠    
BeSIAUzoTWH9muYl,价格,1,,恭喜恭喜，这个配置性价比很高
f5UhrHg6Zztl7VWj,价格,0,,换轮胎应当根据个人用车情况选择，里程少的应偏重舒适性，里程多的偏重轮胎的耐磨指标。舒适性好的轮胎，太软、胎噪小不耐磨。耐磨的轮胎，胎噪大，舒适性差。总跑高速的速度指标应当不低于v，城里居多的速度指标可以H级，两者价格差不少。
hNVSLDr06cMsgwfI,价格,0,,除开这四点 森林人还有很多缺点 比如内饰做工廉价感十足 高速上了120噪音大 CVT牺牲驾驶乐趣 后排没有出风口 没有标配四门一键升窗 棒棒糖钥匙等等 不过都不重要 喜欢就好
AWsymeHLSU1f38tT,价格,0,,刹车事关安全，还是去找师傅搞好过，省这钱真没必要。
lQ0N8fd4On7TzcsD,价格,0,,刹车油不贵 一年半就可以换了 我习惯提前点周期换油
cIevXAM5FRp14Nni,价格,0,,这个价位全时四驱就只有斯巴鲁了    
5b2XhIBYPOCfMzcu,价格,0,,广东倒是不担心配件问题，大把拆车件，只要车架好，发动机变速箱总成都可以搞到，大不了换，也就四千多块钱    
tcPLeKdDrkYG1394,价格,0,,欧蓝德超值，森林人基本没啥性价比，买森的基本就是喜欢你就不考虑性价比。
QRw7ngTJ2A5CYBGW,价格,1,,途观加95油耗比小森高点，保养差不多，后期维修比小森便宜点，没事故基本问题都不大，小森是全时四驱，31以内唯一，全时和适时有区别，途观做工更扎实一些，如果在北方小森很有优势，不论什么路面，雨雪天气，安全系数高出很多，操控没的说，虽然途观更舒适，但各方面考虑小森没毛病。
06vPIQBqVNe2dl3f,价格,1,,途观加95油耗比小森高点，保养差不多，后期维修比小森便宜点，没事故基本问题都不大，小森是全时四驱，32以内唯一，全时和适时有区别，途观做工更扎实一些，如果在北方小森很有优势，不论什么路面，雨雪天气，安全系数高出很多，操控没的说，虽然途观更舒适，但各方面考虑小森没毛病。
BDoeHPlCiNVXEvrg,价格,0,,要么换车，老款没有了就相同优惠提新款。要么退款。
cBMxouh5FEnz36DI,价格,0,,2.0时尚加装一万装潢落地26裸车没算优惠多少    
8Hdtp2WE6nMf93YP,价格,0,,2.0动力就够用，别上2.5，性价比太低了，乞丐版性价比最高，自己换个氙气大灯，完美！
ELck8IARbwdpgvri,价格,0,,你好，这个价格还是不错的，公里数也是正常，买回来以后注意汽车的保养就可以了，一般都是更换全车油水，检查一下车况！然后按正常使用就可以了
rM6sP4AXpCfNc7xR,价格,0,,搞活动订的，优惠13000，送两年保养    
vdWmiISbRku1Cl3J,价格,0,,谈价格，是要有点技巧的，可以，提前，做点功课，销售员，每天见得人多了，各种各样的人，所以，他们很会套路。
HAVTYESJNfjlZ9iM,价格,0,,庞大再不降价八万，斯巴鲁在国内连一万量也卖不出去了    
Mglj9pKWkY7Isixm,价格,1,,你这个916WS导航买的不便宜吧！现在的9016S便宜得多，打算多少出？   
g27EQ5F4bMjSp9qc,价格,0,,2年前江苏盐城4S店就是优惠现金2万以上啊?为什么不可能？   
tka3Nq9TAR5BH7Ij,价格,0,,斯巴鲁2014款之后就不是高田气囊 。   丰田刹不住是脚垫卡住  。   你三菱爸爸刹车失灵是真的坏了却还嘴硬  。   我不愿意被日本人干死但是也不愿意被无良国产干死，感觉你好像很愿意被干死？  。   而且你爸爸三菱不是日本鬼子？你好好笑哦~你个马甲连灵魂都没有只能卖智商价格还低一吨几毛钱    
gsiR7FHy5YndmTXK,价格,0,,这个价格贵吗？相对合资车比较，应该差不差不多吧。不能喝BBA比。   
Mj9ZO61VWTefml7z,价格,0,,我的也是12款2.0自豪，才跑了四万多公里，一胎扎了钉子频频慢撒气，一胎侧壁被破山石划伤，但未伤到筋，为安全起见，上月去朋友的轮胎店，按朋友推荐换了两条耐特通轮胎，215/65R16，98V，每条优惠价750，放前面，感觉比原车普利司通胎稍硬些，还行。
zXPLFe5Sqvc06RuG,价格,0,,我个人觉得不是空间问题。只是更喜欢森林人外观。xv不太喜欢。但是价钱上面很是喜欢……我对空间没什么要求，平时也就一个人开开，驾驶员位置肯定没什么问题的，任何一辆车    
O7j9h8MaymUvVAtT,价格,0,,在价格相差不大的情况下，能选新款的选新款，毕竟很多小功能方面的提升，还有18款的国4，16款的是国3（国4），看到时候车管所承认哪个标准
rsPHOp7WeK2uYgb6,价格,0,,10年307 1.6手排车主表示2.0够了 正准备下手老款 因为优惠大
ikqn9SVU1dDFeYpb,价格,0,,2.0和2.5和钱没有关系，当初试驾2.5到付钱的时候选择2.0，都是自吸，想选择动力好加T就可以了，13年开到现在，在路上没有感觉动力差，高速只能跑120。只要不考虑油耗，不怕违章，动力也是很强劲。
EreqkWG8o357Htdh,价格,0,,优惠了5000 上牌1500 贷款1000   
UWDsRXma9t6FpxKo,价格,1,,买雷诺 新产品 样子好看还便宜
x4fpOqR6sUiClheE,价格,0,,别纠结，我们无锡这儿首保就是0w-20的机油，我还想贴钱换5w-30呢！个人认为0-20太稀了！    
jMWAIfyUN3sqTovd,价格,0,,成都，优惠是我16款的，18款的优惠我不晓得有好多    
ZbGpiu1Q9vEkHaVJ,价格,0,,你在4S店买保险他们能拿30左右的返点，比如一万 他们提三千，肯定是希望你在4S店买啊，你要谈价钱说不在店里上保险 优惠就会打折，如果要是谈完了，你不在店里买，那他们就觉得优惠给你多了，他们没利润
q8mnYHr6vAKoTOx9,价格,0,,想不明白你这种问题，钱宽裕的话肯定2.5啊，难道买2.5都傻子？我是2.5低配，我认为区别就在于，第一，满载下影响动力小，第二，油耗高一点，也就一个油。这点应该不难选择
guCoQmIawZqz374R,价格,-1,,网上的一些口碑好的，专营一种机油的，靠谱一点。自己买配件，到修理店去保养确实便宜多了。修理店的工时费也很便宜
T40PlF3fkStJdIx9,价格,0,,2.0T卖的少是因为那个价格可以买更高一个级别的车了。30多万选择太多了，一般不会选斯巴鲁了。
p8SCmcxyB1aeOTYG,价格,0,,我青岛的，在合肥提的车，优惠2万零500
Dj6R3K2iLuEtUnWG,价格,0,,第一个灰桶最好 新日石引能仕换标 安索嘛 加签名版才有点效果 总体不错 但是性价比一般 第三个白桶 是庞大系4s的出光机油 总体也还行 但是货源比较混乱
sJlZXtVAdKeq0gha,价格,0,,新款配置高，老款优惠大，看你喜欢配置还是价格
YUG1zybnqjSDmZkJ,价格,0,,crv全世界销量都很好，满足了，空间大，故障率低、维护成本低、最新一代四驱系统有加强，（但雨雪、湿滑路面一样不行）。国外的车辆主要贵在维修、保养（人工费很高）。    
Ht7R0SnZMEV1eD6Q,价格,0,,选中2.0而没有买其他配置的原因很多，回过头来，即使今天让我重新选择，我还是会选这个配置，觉得性价比更高一点。另外，你说的高配，并不包含灯光系统，2.5排量以上的森林人用的是LED灯，厂家和改装厂吹嘘LED是高端灯光，个人觉得，这完全是忽悠老百姓，LED发光原理决定了它不适用汽车照明。    
xsReYtP7VfJjdhSF,价格,0,,说难听点老款车、库存车、凡是不好卖的车款，加几个破壁配置 就出来了特装、纪念、专供等等，这样还能卖一阵！有的则是部分原车款给减配了卖，简配下来的配件过上几个月，车开始掉价了利润少了，那再加上这些简下来的配件，恢复原款配置，就成了特装款，车架还是原价......里外里就是坑 就是挣你钱！特装是中国经销商搞出来的四不像！
goKCk8Rb1pX9WMHm,价格,0,,不是特别纠结配置(如:一键启动、LED转向大灯、电尾)，不经常长途拔涉的话，不建议改单。因为:首先改单会遭4S抬价，再者2.0时尚是销量王，尾翼和18寸轮毂很拉风。    
8ijAZKYdwx5BXeEz,价格,0,,森林人油耗都不高，很经济，。只是我觉得2.0L配置够用了，节约下来的银子够开2年的汽油钱了。     
CmpW4Xv207JquMt1,价格,0,,楼主好！我也订了和你一样的特装版颜色内饰相同。怎么合同上写2016款2.5特装，而不是2017年的？要到6月才交车，价优恵1．5W被强要再买5K装饰，贵吗？到时有厂家送的3K装饰共8K买，什么装饰？车友们有好的建议吗？
oX1pJ3yMtIaOcNWA,价格,0,,南方经销商大部分不是庞大。号外，原来16款2.5尊贵就是有黑和棕2个内饰可选的，自己换装不是加大成本么。
j32vz0EsGwWqnPyX,价格,0,,价格有点贵，跟我顶配价格差不多。不过买了就好好享受。
auH2N6r5nbFAiIpd,价格,-1,,我看傲虎论坛里有换远光LED的，是leda 02型号的。价格比PIAA便宜，我准备在日本买，这样品质能保证是真的
ZwRt05lCQKhTJvP1,价格,0,,有意就是价格有点高了 最近一直关注2.5t的森林人 想把自己的老3系出掉换个se 楼主可否迟点出啊 留给我
h1EMXCOJgZmAU6Pz,价格,0,,去看下探界者吧，侧面和发现神行很像，北美销量前五的suv，销量排在斯巴鲁众多suv的前面，国产后价格又不贵，发动机参数完爆森林人和傲虎，还配6at和9at，上汽通用造，不说很好但也不至于很差吧，除了四驱应该没什么地方比森林人差的
9f1boRZ3OC74gtX0,价格,0,,长城1.5T这个发动机，似乎听不止一个车评人吐槽过动力不够。有人甚至说上坡都会因为动力不够熄火（手排），不知道是不是真的。为什么不试试新H6的2.0T，价格肯定比森林人低。
fqWAnpjt7x4uRYCX,价格,0,,兄弟，你的裸车价格怎么谈下来的，交流一下吧
SpPEa8nQWH6hlFNu,价格,0,,其实同样的价格老途观豪华版更好，新途观太丑了，还贵
5JBfIwshEo6tUk7K,价格,0,,正应要爬坡上坎所以才要选个动力好点的，森林人哪动力简质不忍直视，不要说XT，哪价位选择的太多了   
cVlv8HZPjB6m4y75,价格,0,,听老婆的吧。老婆满意，生活才能和谐。两个观点供您参考：1.一分钱一分货2.空间多大是个大呢？我193，感觉森林人空间足够足够了，简直就是浪费…哈哈
e2ATqS3JlL7ob1zy,价格,0,,整整一年，2016款尊贵2.5，总里程2.5万公里，表显综合油耗7.5。上下班路况好，红绿灯少。   
SodBsCOQX81g9npP,价格,0,,差不多价格，你定了什么样式的？    
BcEzqdb6HlyGae17,价格,0,,价格贵，进口车直接带来的问题就是这个。
Evg7IudDBGn42btA,价格,-1,,4 S和保险就贵，自费的就不贵。比如空调虑，店里150，自己买40，比如保养一般只有机油，4S 会加很多不必的东西，你不懂的话会超1000，再就是多少才叫贵？正常的保养600左右。至于配件，我认为20万的车价格不能和10万的车比，也不能和BBA 比
iqfN9xbm4kestrQn,价格,0,,那CRV吧，质量稳定，空间足够，价格又不贵，二手也好出，长三角地区治安不错，不用过多考虑本田车容易被盗的问题。城市里用CRV真心是很好的选择。   
gC1Viv9aXJSpjnRU,价格,0,,第一，这个东西不会影响散热。第二，这个东西，会保护一点，但不会特别牛逼，越轻越韧越好，它主要作用是整流，只有奔驰G那个镁合金的才是真正保护的。铝合金就行，如果太硬的，怕真变形的时候把你发动机螺丝孔也弄坏。铝合金还不生锈，而且价格也不高    
RP7kyNVaSbjedXzn,价格,0,,虽然森林人在同价位SUV中不输其他同级对手，但是跟上面这几个车比，无论从哪方面比都是自取其辱，除了操控可能比普拉多好点外，其他方面随便一台都秒杀森林人。一分钱一分货啊   
2mpYHKbezMT4aRD1,价格,0,,自己想了好久了，终于有人实现了，求价格，求效果图
kP3rhzZJTtsldbUR,价格,0,,价格差不多，就是北京4s没有一升的机油，都是大桶的
gEiv0n4qTj1MPUuF,价格,0,,武汉的4s店真是黑，换一个都要1200块。以后准备自己保养了，4s店少，价格又黑
JgOyYlvReIxEoCGU,价格,0,,钱够直接2T，不过话说回来这笔够得上其他更好的了。。。 2.5算了吧，这代FB发动机的毛病不是装个机油冷却就根治的，坛子里搜看车主的帖子。遇上了糟心，问题是概率还不小。。。
vZJH7btSIYN6jkXC,价格,0,,主要对发动机好点，想开10多年，用好点油没错的，价格和4s差不多    
JUISr7g514Y8VEoj,价格,0,,基础版价格对比，美国是森林人便宜，德国、英国、法国都是CRV便宜，德、法作为欧盟邻国居然差价这么多，法国基础版折合人民币24万6了，跟天朝一样坑，难道税费差异很大?
yC3afKYxGScuBvmE,价格,0,,如果预算够绝对2.0T，当时由于等的太久，提了尊贵！后劲感觉动力一般！
nEV4Xq8QmFIWDsSf,价格,0,,价格不高。比我早两年，里程差不多，这个价我绝对不卖
qi9FRgkn70yJhV8d,价格,0,,昨天试驾了探界者，操控不错，悬架也是运动偏硬，1.5 t的新车价格和新款二手森林人还便宜些。还是情怀啊！
FnxNHYEG7VKrLpjO,价格,0,,09-12款都合适，价格800元物流到付   
C0iG5Nud48OmX2Pk,价格,0,,你再仔细看清楚，20万这个价格。    
RjfU4HnaO0KSzlpC,价格,0,,我也是买的09年的，建议楼主车况好价格合适可以买
m4Ps7aIlUHdNQ96D,价格,0,,我记得以前换的机油是从日本进口的贴斯巴鲁标的，关键是它换的这个唐山市的机油价格还和原来的一样，我觉得这里面有问题！
WaPyGLwQE0izcMd1,价格,0,,不知道有什么不好，也许也正常吧。正品价格买的是库存车，多少有点故意下坑的感觉吧。    
FHdO4pZhf95D8bzi,价格,0,,价格差不多明显车要好不少    
9OS84ZmRFWL6nu17,价格,0,,全险，礼品确实能要不少，前后杠 地护板 底盘装甲 侧踏 脚垫。可是这些我觉得都没有用，也不喜欢，要换成价格优惠，他不同意。    
pgfSJHQPcouasvLX,价格,0,,好的，谢谢各位的意见！4S店都这么垃圾，以后就没必要去照顾它的生意了，自己在外面花钱买品牌油换，照顾一下朋友的汽修厂，还有个人情。以前是觉得换的是斯巴鲁认可的油，应该是最适合斯巴鲁的发动机的，所以一直都在4S店保养。现在看来就不用了，4S店自己要把自己作死的。忘了告诉你们，我说的是贵阳的4S店，有贵阳的车友需要注意一下！
iPvq0uXhLj4zp6V1,价格,0,,这未必，被撞的一方就取决于被动安全了，斯巴鲁相比同级别的车属于安全的，但被一些自重比他更大，离地更高，有大梁的非同级别车就不能参照碰撞测试的成绩了，只是我觉得为了相对安全舍弃掉更多的选择性和性价比有些划不来    
wIhbC0s3jmGKW8at,价格,0,,看看路虎发现神行吧，SE版（官价40.8万）现在裸车都二十八九万了，好歹2.0T，9AT，动力和变速箱都比2.5 CVT的森林人好，四驱也很强，离地间隙220，品牌还能***。    
2WAtqCpk3EHsYNLG,价格,0,,还保持这个价格继续销量下滑是一定的。下半年要出的suv太多了，现在国产排量又不确定，有部分会冲动消费的，利用等车这三个月肯定移情别恋了。既然是换代车，就早点出来抢一波，搞不懂。    
Lxkirv1mpWqPR4SD,价格,0,,傲虎好一些，适合旅行出去玩，舒适度，油耗，后期使用成本低。正常保养的话，费用也不多不到六百块钱！傲虎有轿车舒适度和越野车底盘
ECRjsnbiIY74PpDO,价格,0,,建议你在汽车之家的口碑里面看看当地的车友的价格，价格会随市场不同时间变化的，不同地区价格也不一样，你可以去看看汽车之家的此款车的详情页面里面的当地的报价。当然，这个报价基本上是比较虚的，需要捆绑销售的。
wDxEtaUH3zLoPAI2,价格,0,,最近一直在研究森林人，论坛反应确实2.5烧机油啊，大部分5万公理开始烧，好像有的反应3000公里烧2升....悲剧....价格比2.0贵好几万，还多出来个大毛病   
OBd3i7fxTRQSL81h,价格,0,,比南京价格好多了，南京全款时尚落地25.5
cD9s48BbWiwykgU3,价格,0,,布雷博 18Z前6后4刹车什么成色？能拍个照片看看吗？什么价格？   
4IONEgTitCLGye9Z,价格,0,,20万公里的车，我建议不要买，就是6万你买了修起来很麻烦，关键你大修了绝对不如没有修过的，cvt变速箱的使用极限也到了，09年的车10万公里左右，8万左右的价格还行，不需要大修，好好保养一下就可以了，车况好9万左右也值
